participant,isMale,leftHanded,age,weight,height,HowReligious,nSibling,smoke,romantic,education1_you,education_father,education_mother,conservative_you,conservative_father,conservative_mother,income_you,income_parent,cityGrewupPopulation,cityGrewupSize,cityGrewupConservative,cityNowPopulation,cityNowSize,cityNowConservative
2694ZL,1,0,29,160,72,4,4,1,7,4,1,3,3,4,4,2,3,2,2,6,7,5,1
2713ZL,0,1,19,135,65,2,1,1,4,2,1,4,1,1,2,1,3,3,3,5,6,5,2
2719ZL,1,0,22,200,75,5,3,1,4,3,2,3,4,6,5,1,2,3,1,6,7,5,3
2723ZL,1,3,19,156,73,4,2,1,6,2,2,3,3,4,4,1,6,3,3,5,6,5,2
2725ZL,1,0,21,175,76,2,4,1,1,2,5,2,4,6,5,1,3,2,1,6,5,5,2
2737ZL,1,0,19,180,70,2,2,1,2,2,3,3,3,3,3,1,3,3,3,5,6,5,4
2751ZL,0,0,19,125,65,3,2,1,3,2,3,3,2,5,3,1,3,3,3,3,6,5,2
2752ZL,0,0,21,190,63.5,5,2,1,1,2,3,3,3,3,3,2,1,7,5,3,6,3,3
2753ZL,0,0,28,135,64,1,1,1,1,5,3,1,3,5,4,1,2,7,4,4,6,4,3
2761ZL,0,0,24,145,67,6,3,2,1,2,1,3,3,4,4,1,3,1,2,4,7,5,3
2763ZL,0,0,21,95,60,1,2,1,3,2,5,5,1,4,2,1,3,3,3,5,6,5,2
2766ZL,0,0,21,133,66,2,1,1,4,2,5,2,2,3,4,1,5,3,3,5,6,5,3
2769ZL,0,0,20,107,60,2,2,1,1,2,5,5,2,2,2,1,2,1,3,3,6,5,3
2773ZL,0,0,21,170,68,3,2,1,1,2,3,3,1,6,6,1,3,3,3,4,6,5,1
2783ZL,0,1,22,140,61,2,4,1,4,2,5,3,1,3,2,1,5,2,2,3,3,3,6
2785ZL,1,0,20,147,70,3,3,1,2,2,3,3,3,2,2,1,5,4,3,3,6,5,3
2790ZL,0,1,26,140,65,4,2,1,4,2,1,2,2,3,3,1,2,2,2,3,6,5,3
2793ZL,0,0,21,142,64,2,3,1,1,2,5,4,5,6,6,1,5,4,3,4,5,4,2
2797ZL,0,0,18,130,64,1,2,1,1,2,5,5,2,6,6,1,5,3,3,2,6,5,4
2798ZL,1,0,27,148,70,2,2,1,1,5,3,3,4,5,3,1,6,4,3,4,6,5,1
